firstName,lastName,prefix,suffix,alternateSpellings,sourceNames,roles
Morton,Coates,,,,Morton Coates,deed
Moses,Coates,,,,Moses Coates,deed|neighbor
Rachel,Coates,,,,Rachel Coates,deed
Sarah,Coates,,,,Sarah Coates,deed
Susanna,Coates,,,,Susanna Coates,deed
Tacy,Coates,,,,Tacy Coates,deed
Thomas,Coates,,,,Thomas Coates,deed|neighbor
Frances,Coffey,,,,Frances Coffey,deed
James,Coffey,,,,James Coffey,deed
John,Coffey,,,,John Coffey,deed
Anna,Coffin,,,,Anna Coffin,deed
Thomas,Coffin,,,,Thomas Coffin,deed
Catherine,Coffman,,,Catharine Coffman,Catharine Coffman|Catherine Coffman,deed
Daniel,Coffman,,,,Daniel Coffman,deed|neighbor
Eliza,Coffman,,,,Eliza Coffman,deed
Elizabeth,Coffman,,,,Elizabeth Coffman,deed
Henry,Coffman,,,,Henry Coffman,deed
Isaac,Coffman,,,,Isaac Coffman,deed
Jacob,Coffman,,,,Jacob Coffman,deed|neighbor
John,Coffman,,,,John Coffman,deed|neighbor
Joseph,Coffman,,,,Joseph Coffman,deed
Kate,Coffman,,,,Kate Coffman,deed
Margaret,Coffman,,,,Margaret Coffman,deed
Margaret Ann,Coffman,,,,Margaret Ann Coffman,deed
Rosanna,Coffman,,,,Rosanna Coffman,deed
Samuel,Coffman,,,,Samuel Coffman,deed
Sarah,Coffman,,,,Sarah Coffman,deed
William,Coffman,,,,William Coffman,deed
Jacob,Colehover,,,,Jacob Colehover,deed
Zimmerman,Colehover,,,,Zimmerman Colehover,deed
Peter,Colehower,,,,Peter Colehower,deed
William,Coleman,,,,William Coleman,deed
Caroline,Compton,,,,Caroline Compton,deed
William,Compton,,,,William Compton,deed
Cornelius,Conard,,,,Cornelius Conard,deed|neighbor
Daniel,Conard,,,,Daniel Conard,deed
John,Conard,,,,John Conard,deed
Joseph,Conard,,,,Joseph Conard,deed
Priscilla,Conard,,,,Priscilla Conard,deed
Sarah,Conard,,,,Sarah Conard,deed
Streper,Conard,,,,Streper Conard,deed
William,Conard,,,,William Conard,deed
Mary,Cone,,,,Mary Cone,deed
James,Connard,,,,James Connard,deed
Jane,Connard,,,,Jane Connard,deed
Joseph,Conrad,,,,Joseph Conrad,deed|neighbor
Stephen,Conrad,,,,Stephen Conrad,deed
John,Cooley,,,,John Cooley,deed
David,Cooper,,,,David Cooper,deed
Ezra,Cope,,,,Ezra Cope,deed
Joseph,Cornett,,,,Joseph Cornett,neighbor
Samuel,Cornett,,,,Samuel Cornett,deed
Abner,Cornog,,,,Abner Cornog,deed
Jane,Cornog,,,,Jane Cornog,deed
John,Cornog,,,,John Cornog,deed
Robert,Cornwall,,,,Robert Cornwall,deed
Jones,Coulter,,,,Jones Coulter,deed
John,Coulton,,,,John Coulton,deed
Joshua,Coursey,,,,Joshua Coursey,deed
Isaac,Covington,,,,Isaac Covington,deed
Hannah,Cownover,,,,Hannah Cownover,deed
John,Cownover,,,,John Cownover,deed
Abraham,Cox,,,,Abraham Cox,deed
Benjamin,Cox,,,,Benjamin Cox,deed
Daniel,Cox,,,,Daniel Cox,deed
Sarah,Cox,,,,Sarah Cox,deed
Henrietta,Crawford,,,,Henrietta Crawford,deed
John,Crawford,,,,John Crawford,deed
Virginia,Crawford,,,,Virginia Crawford,deed
William,Crawford,,,,William Crawford,deed
William,Crouch,,,,William Crouch,deed
Joseph,Cunnard,,,,Joseph Cunnard,deed
William,Currie,,,,William Currie,deed
Jacob,Curry,,,,Jacob Curry,deed
Rachel,Curry,,,,Rachel Curry,deed
T. W.,Curry,,,,T. W. Curry,deed
Joseph,Curtz,,,,Joseph Curtz,deed
A.,Custard,,,,A. Custard,neighbor
Elizabeth,Custer,,,,Elizabeth Custer,deed
Hannah,Custer,,,,Hannah Custer,deed
J. M.,Custer,,,,J. M. Custer,deed
John,Custer,,,,John Custer,deed
Peter,Custer,,,,Peter Custer,deed
Samuel,Custer,,,,Samuel Custer,deed
Peter,Dailey,,,,Peter Dailey,deed
Abraham,Darlington,,,,Abraham Darlington,deed
Archibold,Darragh,,,,Archibold Darragh,deed
Ann,David,,,,Ann David,deed
David,David,,,,David David,deed
Eleanor,David,,,,Eleanor David,deed
Esther,David,,,,Esther David,deed
Evan,David,,,,Evan David,deed|neighbor
Hannah,David,,,,Hannah David,deed
Hezekial,David,,,,Hezekial David,deed
Isaac,David,,,,Isaac David,deed
James,David,,,,James David,deed|neighbor
Jenkin,David,,,,Jenkin David,deed|neighbor
John,David,,,,John David,deed|neighbor
Llewellyn,David,,,,Llewellyn David,deed
Margaret,David,,,,Margaret David,deed
Martha,David,,,,Martha David,deed
Mary,David,,,,Mary David,deed
Rachel,David,,,,Rachel David,deed
Rees,David,,,,Rees David,deed|neighbor
Sophia,David,,,,Sophia David,quit rent
Stephen,David,,,,Stephen David,deed
Thomas,David,,,,Thomas David,deed|neighbor
Rachel,Davidson,,,,Rachel Davidson,deed
David,Davies,,,,David Davies,deed|neighbor
Hannah,Davies,,,,Hannah Davies,deed
John,Davies,,,,John Davies,neighbor
Llewellyn,Davies,,,,Llewellyn Davies,neighbor
Nathaniel,Davies,,,,Nathaniel Davies,deed
Bridget,Davis,,,,Bridget Davis,deed
Charlotte,Davis,,,,Charlotte Davis,deed
Daniel,Davis,,,,Daniel Davis,deed
David,Davis,,,,David Davis,deed|neighbor
Eleanor,Davis,,,,Eleanor Davis,deed
Elijah,Davis,,,,Elijah Davis,deed|neighbor
Elizabeth,Davis,,,,Elizabeth Davis,deed
Ellen,Davis,,,,Ellen Davis,deed
Ellis,Davis,,,,Ellis Davis,deed
Enoch,Davis,,,,Enoch Davis,deed
Ezekiel,Davis,,,Ezekial Davis,Ezekial Davis,deed
Ezekiel Howell,Davis,,,Ezekial Howell Davis,Ezekial Howell Davis,deed
Gennis,Davis,,,,Gennis Davis,deed
George,Davis,,,,George Davis,deed
Hariett,Davis,,,,Hariett Davis,deed
Hezekiah,Davis,,,,Hezekiah Davis,deed|neighbor
Hezekial,Davis,,,,Hezekial Davis,deed
Isaac,Davis,,,,Isaac Davis,deed|neighbor
Israel,Davis,,,,Israel Davis,deed|neighbor
J. M.,Davis,,,,J. M. Davis,neighbor
James,Davis,,,,James Davis,deed
Janette,Davis,,,,Janette Davis,deed
Jesse,Davis,,,,Jesse Davis,deed|neighbor
John,Davis,,,,John Davis,deed|neighbor
John Havard,Davis,,,,John Havard Davis,deed
John M.,Davis,,,,John M. Davis,deed
John P.,Davis,,,,John P. Davis,deed
Jonathan,Davis,,,,Jonathan Davis,deed
Jones,Davis,,,,Jones Davis,deed
Joshua,Davis,,,,Joshua Davis,deed|neighbor
Leah,Davis,,,,Leah Davis,deed
Lewis,Davis,,,,Lewis Davis,deed
Llewellyn,Davis,,,,Llewellyn Davis,deed|neighbor
Magdelene,Davis,,,,Magdelene Davis,deed
Margaret,Davis,,,,Margaret Davis,deed
Margarette,Davis,,,,Margarette Davis,deed
Mary,Davis,,,,Mary Davis,deed
Matilda,Davis,,,,Matilda Davis,deed
Methuselah,Davis,,,,Methuselah Davis,deed
Mordecai,Davis,,,,Mordecai Davis,deed
Nancy,Davis,,,,Nancy Davis,deed
Nathan,Davis,,,,Nathan Davis,deed
Nathaniel,Davis,,,,Nathaniel Davis,deed|neighbor
Oscar,Davis,,,,Oscar Davis,deed
Rachel,Davis,,,,Rachel Davis,deed
Rebecca,Davis,,,,Rebecca Davis,deed
Roger,Davis,,,,Roger Davis,deed
Sally,Davis,,,,Sally Davis,deed
Samuel,Davis,,,,Samuel Davis,deed|neighbor
Thomas,Davis,,,,Thomas Davis,deed|neighbor
Thompson,Davis,,,,Thompson Davis,deed
W. J. E.,Davis,,,,W. J. E. Davis,deed
William,Davis,,,,William Davis,deed
Zephaniah,Davis,,,,Zephaniah Davis,deed
Catherine,Dean,,,Catharine Dean,Catharine Dean,deed
John,Dean,,,,John Dean,deed
Abraham,Deaves,,,,Abraham Deaves,deed
Eliza,Deery,,,,Eliza Deery,deed
Peter,Deery,,,,Peter Deery,deed
Benjamin,Defrain,,,,Benjamin Defrain,deed
Maria,Defrederick,,,,Maria Defrederick,deed
Peter,Defrederick,,,,Peter Defrederick,deed
Philip,Defrederick,,,,Philip Defrederick,deed|neighbor
Peter,Delage,,,,Peter Delage,deed
Dennis,Dempsey,,,,Dennis Dempsey,deed
Mary,Dempsey,,,,Mary Dempsey,deed
Titus,Dennen,,,,Titus Dennen,deed
Dennis,Denny,,,,Dennis Denny,deed
Christian,Detter,,,,Christian Detter,deed
Abraham,Detters,,,,Abraham Detters,deed
David,Detwiler,,,,David Detwiler,deed
Henry,Detwiler,,,,Henry Detwiler,deed
Isaac,Detwiler,,,,Isaac Detwiler,deed
Katharine,Detwiler,,,,Katharine Detwiler,deed
James,Devereaux,,,,James Devereaux,deed
Edwin,Dewees,,,,Edwin Dewees,deed
Harriet,Dewees,,,,Harriet Dewees,deed
Sarah,Dewees,,,,Sarah Dewees,deed
William,Dewees,,,,William Dewees,deed|neighbor
Godfrey,Dhiels,,,,Godfrey Dhiels,neighbor
Abijah,Dickinson,,,,Abijah Dickinson,deed
Titus,Dimean,,,,Titus Dimean,deed
